epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0241,2.76644,4.48601,1.89372,0.00973,0.11001,0.00874,0.0028,2.53405,4.28593,1.66356,0.0003636,0.0003636,0.0003636
2,98.9372,2.5648,3.83498,1.65505,0.0035,0.15694,0.0094,0.00278,2.66167,3.85954,1.78776,0.000731511,0.000731511,0.000731511
3,144.395,2.49811,3.40182,1.64457,0.2494,0.07506,0.01847,0.00544,2.66909,3.63314,1.9864,0.00109698,0.00109698,0.00109698
4,187.673,2.47792,3.28401,1.66708,0.07758,0.07196,0.02712,0.00788,2.6673,3.20838,1.78086,0.0011,0.0011,0.0011
5,230.103,2.46217,3.08725,1.65576,0.09458,0.11498,0.04935,0.0166,2.6151,3.48705,1.8888,0.00109633,0.00109633,0.00109633
6,272.955,2.43014,2.97341,1.63239,0.13679,0.11084,0.05281,0.01636,2.56807,2.9021,1.70137,0.00109267,0.00109267,0.00109267
7,314.403,2.37133,2.90325,1.60622,0.13677,0.11733,0.06377,0.02011,2.4887,2.8415,1.66071,0.001089,0.001089,0.001089
8,358.208,2.34769,2.77489,1.58989,0.14934,0.14495,0.08167,0.02799,2.48102,2.7639,1.73665,0.00108534,0.00108534,0.00108534
9,400.057,2.29796,2.63144,1.57213,0.20141,0.14985,0.08335,0.02864,2.46765,3.2728,1.69054,0.00108167,0.00108167,0.00108167
10,444.243,2.26954,2.54882,1.52023,0.24361,0.1593,0.11186,0.03995,2.37235,2.61923,1.62737,0.001078,0.001078,0.001078
11,486.556,2.27463,2.53307,1.53465,0.23564,0.1568,0.12256,0.04262,2.41757,2.56909,1.65126,0.00107434,0.00107434,0.00107434
12,529.335,2.23359,2.45042,1.55058,0.22554,0.17657,0.11559,0.04173,2.39849,2.72079,1.72447,0.00107067,0.00107067,0.00107067
13,575.326,2.22321,2.42431,1.54621,0.24176,0.17951,0.13432,0.04994,2.3494,2.55416,1.67693,0.001067,0.001067,0.001067
14,619.654,2.21208,2.35095,1.52535,0.27186,0.19174,0.13656,0.04813,2.37452,2.6841,1.63798,0.00106334,0.00106334,0.00106334
15,660.429,2.20828,2.31881,1.52947,0.29843,0.20322,0.14489,0.05288,2.3351,2.4633,1.64002,0.00105967,0.00105967,0.00105967
16,703.176,2.17608,2.25467,1.49088,0.26923,0.19501,0.15003,0.05817,2.31205,2.41304,1.61553,0.00105601,0.00105601,0.00105601
17,744.928,2.13129,2.16525,1.48319,0.35683,0.18841,0.16333,0.06109,2.32693,2.3825,1.58974,0.00105234,0.00105234,0.00105234
18,788.623,2.17307,2.15834,1.50405,0.31931,0.21195,0.17016,0.06363,2.31738,2.35341,1.63065,0.00104867,0.00104867,0.00104867
19,831.485,2.164,2.12994,1.48465,0.32918,0.22174,0.19948,0.07556,2.27692,2.19325,1.59849,0.00104501,0.00104501,0.00104501
20,877.559,2.11644,2.05124,1.46005,0.39518,0.23515,0.19962,0.07683,2.25479,2.18576,1.56668,0.00104134,0.00104134,0.00104134
21,920.113,2.08712,2.00486,1.44374,0.33336,0.22279,0.20104,0.08033,2.26103,2.20987,1.5761,0.00103767,0.00103767,0.00103767
22,961.334,2.04519,1.94227,1.42009,0.40663,0.26683,0.24047,0.09775,2.19474,2.06736,1.53361,0.00103401,0.00103401,0.00103401
23,1003.85,2.03723,1.909,1.40198,0.39401,0.2647,0.23395,0.09733,2.18845,2.07582,1.51991,0.00103034,0.00103034,0.00103034
24,1050.24,2.04586,1.90265,1.42862,0.35294,0.24349,0.21116,0.08121,2.24679,2.16429,1.54492,0.00102668,0.00102668,0.00102668
25,1091.89,2.03694,1.86654,1.41294,0.39705,0.27942,0.24058,0.09334,2.24709,2.09685,1.5577,0.00102301,0.00102301,0.00102301
26,1134.03,2.02088,1.84014,1.40761,0.40658,0.25969,0.23123,0.09334,2.22935,2.11321,1.5626,0.00101934,0.00101934,0.00101934
27,1177.27,2.01147,1.81331,1.41236,0.46416,0.28397,0.26259,0.10456,2.18247,1.98548,1.52396,0.00101568,0.00101568,0.00101568
28,1218.35,1.99495,1.76736,1.39359,0.45263,0.23869,0.23422,0.09276,2.18117,2.17738,1.49092,0.00101201,0.00101201,0.00101201
29,1267.13,1.97351,1.7564,1.36768,0.40441,0.26442,0.25457,0.10643,2.15108,2.00913,1.50401,0.00100834,0.00100834,0.00100834
30,1310.65,1.96372,1.69023,1.35021,0.42197,0.31656,0.28749,0.12224,2.11502,1.9083,1.4946,0.00100468,0.00100468,0.00100468
31,1355.48,1.96174,1.68011,1.36178,0.43347,0.28527,0.27472,0.11236,2.18186,1.94539,1.47273,0.00100101,0.00100101,0.00100101
32,1397.35,1.94774,1.7238,1.35953,0.41721,0.31794,0.2937,0.1169,2.16302,1.9118,1.52849,0.000997345,0.000997345,0.000997345
33,1439.15,1.92335,1.6654,1.36178,0.46434,0.28605,0.28713,0.12509,2.12272,1.97997,1.48955,0.000993678,0.000993678,0.000993678
34,1482.12,1.93506,1.63994,1.3609,0.46035,0.33284,0.30363,0.12291,2.13182,1.93717,1.4924,0.000990012,0.000990012,0.000990012
35,1525.93,1.91324,1.60294,1.3465,0.41933,0.33239,0.30384,0.12776,2.13134,1.86421,1.47242,0.000986346,0.000986346,0.000986346
36,1570.55,1.91946,1.60057,1.3402,0.45924,0.31129,0.30128,0.12745,2.10766,1.86246,1.49149,0.000982679,0.000982679,0.000982679
37,1614.16,1.89547,1.60092,1.33515,0.41443,0.26349,0.24838,0.09098,2.27503,2.0503,1.51232,0.000979013,0.000979013,0.000979013
38,1656.66,1.87523,1.56092,1.33731,0.49259,0.35873,0.34044,0.14436,2.0864,1.80046,1.46975,0.000975347,0.000975347,0.000975347
39,1699.58,1.85547,1.56246,1.33505,0.50647,0.32642,0.33655,0.15098,2.04514,1.76076,1.44898,0.000971681,0.000971681,0.000971681
40,1740.85,1.86924,1.52402,1.30172,0.47813,0.32766,0.33149,0.14755,2.06859,1.83781,1.48297,0.000968014,0.000968014,0.000968014
41,1784.18,1.85734,1.49774,1.32353,0.50509,0.37132,0.35067,0.14826,2.12495,1.80542,1.47893,0.000964348,0.000964348,0.000964348
42,1828.8,1.86455,1.51315,1.32239,0.55607,0.34259,0.36282,0.1622,2.05158,1.7352,1.43218,0.000960682,0.000960682,0.000960682
43,1867.52,1.81569,1.45391,1.31106,0.53127,0.36693,0.37484,0.16461,2.03952,1.69701,1.43939,0.000957015,0.000957015,0.000957015
44,1909.94,1.79867,1.41962,1.27098,0.52642,0.32017,0.32933,0.1444,2.07879,1.75565,1.46349,0.000953349,0.000953349,0.000953349
45,1954.76,1.80372,1.4319,1.28712,0.51786,0.34614,0.36215,0.16066,2.06304,1.70292,1.44274,0.000949683,0.000949683,0.000949683
46,1996.26,1.8155,1.42255,1.28745,0.59955,0.34713,0.37852,0.16565,2.0409,1.75691,1.43572,0.000946016,0.000946016,0.000946016
47,2036.8,1.7836,1.38332,1.27951,0.54478,0.35943,0.35736,0.1593,1.98461,1.70676,1.41748,0.00094235,0.00094235,0.00094235
48,2079.25,1.79765,1.40143,1.29073,0.5778,0.36334,0.39014,0.18011,1.99113,1.64723,1.4008,0.000938684,0.000938684,0.000938684
49,2122.27,1.79436,1.37717,1.27221,0.54182,0.37384,0.38181,0.17525,2.01027,1.67291,1.41306,0.000935018,0.000935018,0.000935018
50,2166.5,1.74599,1.34228,1.26275,0.53918,0.37493,0.38823,0.179,1.99819,1.64655,1.40563,0.000931351,0.000931351,0.000931351
51,2208.7,1.75234,1.36546,1.25515,0.59713,0.34517,0.38066,0.17758,2.02402,1.6487,1.41422,0.000927685,0.000927685,0.000927685
52,2251.02,1.73507,1.31108,1.25536,0.60477,0.35234,0.37642,0.17067,2.03436,1.68372,1.43033,0.000924019,0.000924019,0.000924019
53,2294.95,1.72702,1.28998,1.24243,0.60093,0.36819,0.39558,0.18515,2.03636,1.64766,1.43022,0.000920352,0.000920352,0.000920352
54,2337.32,1.73949,1.32633,1.2575,0.59541,0.37527,0.39732,0.18521,1.96982,1.63658,1.38902,0.000916686,0.000916686,0.000916686
55,2378.15,1.74198,1.29597,1.23319,0.61458,0.39697,0.42406,0.19477,1.96294,1.57425,1.38931,0.00091302,0.00091302,0.00091302
56,2422.5,1.70896,1.27124,1.23029,0.63597,0.374,0.42245,0.1945,1.99427,1.60067,1.40484,0.000909353,0.000909353,0.000909353
57,2465.35,1.69649,1.24523,1.2334,0.64363,0.38101,0.42166,0.19663,1.96474,1.57006,1.37824,0.000905687,0.000905687,0.000905687
58,2509.59,1.69971,1.24534,1.22196,0.60172,0.41976,0.43648,0.20523,1.92216,1.51313,1.36899,0.000902021,0.000902021,0.000902021
59,2552.61,1.66437,1.22848,1.21504,0.60036,0.40324,0.41822,0.2045,1.90754,1.52494,1.37596,0.000898355,0.000898355,0.000898355
60,2594.01,1.6617,1.20507,1.21585,0.57348,0.39675,0.41853,0.20204,1.92327,1.49941,1.37256,0.000894688,0.000894688,0.000894688
61,2637.38,1.69314,1.24153,1.21667,0.65652,0.37338,0.41513,0.19078,1.96722,1.58564,1.38737,0.000891022,0.000891022,0.000891022
62,2681.09,1.63408,1.16705,1.19231,0.59621,0.4132,0.44807,0.21424,1.90012,1.51141,1.35187,0.000887356,0.000887356,0.000887356
63,2722.46,1.66044,1.19589,1.20667,0.64642,0.42698,0.4623,0.21441,1.91608,1.51581,1.36997,0.000883689,0.000883689,0.000883689
64,2766.58,1.63639,1.18572,1.21032,0.60376,0.41561,0.44086,0.20495,1.96601,1.52805,1.41424,0.000880023,0.000880023,0.000880023
65,2807.47,1.65616,1.19326,1.20884,0.62195,0.42476,0.44827,0.2131,1.90117,1.50262,1.33981,0.000876357,0.000876357,0.000876357
66,2848.6,1.61284,1.15765,1.18471,0.62516,0.38956,0.41944,0.20245,1.92894,1.53582,1.37168,0.000872691,0.000872691,0.000872691
67,2891.68,1.64708,1.20446,1.1996,0.63527,0.40814,0.45877,0.2261,1.88096,1.43796,1.33176,0.000869024,0.000869024,0.000869024
68,2934.62,1.61757,1.14742,1.18014,0.68188,0.40467,0.46173,0.22773,1.88897,1.47135,1.34839,0.000865358,0.000865358,0.000865358
69,2976.8,1.62426,1.16214,1.20457,0.64786,0.41581,0.46274,0.21899,1.90486,1.45417,1.35207,0.000861692,0.000861692,0.000861692
70,3020.76,1.59069,1.145,1.17616,0.65567,0.43328,0.4745,0.22662,1.88897,1.41979,1.34988,0.000858025,0.000858025,0.000858025
71,3063.51,1.58022,1.14424,1.1755,0.68597,0.43039,0.47045,0.23056,1.89327,1.44543,1.35656,0.000854359,0.000854359,0.000854359
72,3107.58,1.60437,1.1218,1.17482,0.64336,0.4563,0.48242,0.23541,1.8599,1.41251,1.33337,0.000850693,0.000850693,0.000850693
73,3150.17,1.5802,1.10115,1.16834,0.66269,0.4368,0.47296,0.22709,1.87753,1.43231,1.32565,0.000847026,0.000847026,0.000847026
74,3193.09,1.58064,1.10558,1.15495,0.65792,0.42031,0.45989,0.22066,1.91554,1.45529,1.33239,0.00084336,0.00084336,0.00084336
75,3234.68,1.57537,1.10106,1.163,0.6919,0.41268,0.47184,0.22286,1.88897,1.4725,1.34007,0.000839694,0.000839694,0.000839694
76,3278.7,1.56135,1.09566,1.16179,0.63521,0.41865,0.4523,0.2181,1.88422,1.46899,1.3342,0.000836027,0.000836027,0.000836027
77,3322.04,1.56737,1.09511,1.16005,0.64897,0.45763,0.49292,0.24082,1.85849,1.37133,1.33816,0.000832361,0.000832361,0.000832361
78,3364.1,1.54331,1.07887,1.14571,0.70029,0.43114,0.49059,0.24085,1.87468,1.40386,1.34063,0.000828695,0.000828695,0.000828695
79,3408.23,1.51781,1.04812,1.14128,0.69607,0.41835,0.4763,0.23709,1.81914,1.36114,1.30687,0.000825029,0.000825029,0.000825029
80,3452.98,1.55758,1.06158,1.13772,0.69641,0.44827,0.4873,0.23946,1.83855,1.38726,1.30804,0.000821362,0.000821362,0.000821362
81,3503.1,1.54812,1.05996,1.1486,0.67293,0.44037,0.49335,0.2409,1.86071,1.38472,1.32127,0.000817696,0.000817696,0.000817696
82,3553.12,1.52098,1.04063,1.14764,0.63984,0.41808,0.45951,0.23275,1.83644,1.44692,1.33323,0.00081403,0.00081403,0.00081403
83,3598.25,1.56077,1.08115,1.16061,0.70732,0.43379,0.49194,0.24572,1.82897,1.37721,1.30435,0.000810363,0.000810363,0.000810363
84,3639.93,1.52654,1.04056,1.14627,0.70423,0.44673,0.48621,0.23843,1.84056,1.37418,1.3108,0.000806697,0.000806697,0.000806697
85,3684.25,1.53651,1.03743,1.13514,0.68167,0.45492,0.5016,0.25197,1.8166,1.33431,1.30712,0.000803031,0.000803031,0.000803031
86,3725.72,1.49933,1.01707,1.13859,0.68851,0.47012,0.50944,0.25288,1.82604,1.35197,1.30379,0.000799365,0.000799365,0.000799365
87,3768.23,1.51995,1.03768,1.13647,0.73986,0.45558,0.50239,0.24656,1.83043,1.387,1.30202,0.000795698,0.000795698,0.000795698
88,3812.62,1.48279,1.008,1.12504,0.68254,0.46096,0.49774,0.25407,1.81544,1.34824,1.29884,0.000792032,0.000792032,0.000792032
89,3854.39,1.52436,1.02788,1.13537,0.67802,0.4506,0.48427,0.23853,1.84704,1.35519,1.32564,0.000788366,0.000788366,0.000788366
90,3895.2,1.47837,1.01268,1.12018,0.72066,0.44974,0.50031,0.25361,1.82494,1.36879,1.31066,0.000784699,0.000784699,0.000784699
91,3939.37,1.47355,0.99488,1.1257,0.69172,0.46977,0.50853,0.26516,1.76258,1.31328,1.27834,0.000781033,0.000781033,0.000781033
92,3980.56,1.52116,1.00369,1.123,0.68498,0.47514,0.52019,0.26939,1.77926,1.31933,1.30358,0.000777367,0.000777367,0.000777367
93,4023.54,1.51129,0.98837,1.13023,0.72262,0.45667,0.5111,0.25875,1.79379,1.30517,1.29454,0.0007737,0.0007737,0.0007737
94,4067.69,1.4619,0.96435,1.10024,0.71119,0.44937,0.51542,0.26501,1.78177,1.30007,1.28961,0.000770034,0.000770034,0.000770034
95,4110.73,1.46639,0.96898,1.11853,0.68148,0.47486,0.5136,0.2563,1.831,1.34135,1.30048,0.000766368,0.000766368,0.000766368
96,4153.19,1.4713,0.98728,1.11051,0.70548,0.47015,0.51281,0.2676,1.76528,1.32294,1.27376,0.000762702,0.000762702,0.000762702
97,4195.55,1.4709,0.97965,1.1141,0.71924,0.46252,0.51137,0.25541,1.8326,1.32362,1.31417,0.000759035,0.000759035,0.000759035
98,4240.41,1.46455,0.97014,1.11115,0.72041,0.46722,0.52851,0.26889,1.77247,1.28623,1.27938,0.000755369,0.000755369,0.000755369
99,4280.16,1.46876,0.98147,1.11063,0.70819,0.48077,0.5291,0.26415,1.78442,1.31337,1.27864,0.000751703,0.000751703,0.000751703
100,4322.52,1.46345,0.96916,1.10924,0.72784,0.45449,0.50551,0.25419,1.81629,1.34222,1.2906,0.000748036,0.000748036,0.000748036
101,4366.97,1.43156,0.93383,1.09339,0.68813,0.47439,0.51434,0.26568,1.77261,1.31864,1.27789,0.00074437,0.00074437,0.00074437
102,4407.56,1.4367,0.9262,1.09615,0.71527,0.48206,0.52502,0.26937,1.7677,1.30603,1.28517,0.000740704,0.000740704,0.000740704
103,4448.91,1.42502,0.92715,1.09627,0.73692,0.4698,0.52855,0.2761,1.74008,1.27521,1.27056,0.000737037,0.000737037,0.000737037
104,4492.91,1.42748,0.94618,1.09722,0.72702,0.46972,0.52588,0.27402,1.72861,1.28737,1.2643,0.000733371,0.000733371,0.000733371
105,4534.66,1.42222,0.93373,1.09646,0.7086,0.46131,0.51576,0.2628,1.78279,1.29907,1.28546,0.000729705,0.000729705,0.000729705
106,4579.47,1.40657,0.91275,1.08303,0.69984,0.46696,0.52062,0.27002,1.77029,1.30844,1.27906,0.000726038,0.000726038,0.000726038
107,4622.69,1.42156,0.93863,1.09107,0.71547,0.4858,0.54092,0.28186,1.73901,1.27292,1.26473,0.000722372,0.000722372,0.000722372
108,4663.6,1.42049,0.91318,1.08432,0.72657,0.46505,0.52169,0.26178,1.79757,1.31134,1.30053,0.000718706,0.000718706,0.000718706
109,4705.33,1.40469,0.92153,1.09146,0.77135,0.4727,0.54203,0.28588,1.72173,1.22709,1.25206,0.00071504,0.00071504,0.00071504
110,4748.45,1.42448,0.9345,1.09942,0.70404,0.48415,0.53324,0.27795,1.76742,1.25848,1.27711,0.000711373,0.000711373,0.000711373
111,4792.08,1.40294,0.91155,1.09111,0.7457,0.49001,0.54996,0.27831,1.76854,1.25674,1.27121,0.000707707,0.000707707,0.000707707
112,4835.39,1.37543,0.89232,1.07721,0.78072,0.48814,0.56232,0.2955,1.72748,1.20567,1.26499,0.000704041,0.000704041,0.000704041
113,4879.56,1.3906,0.88679,1.06938,0.78583,0.46665,0.54152,0.28396,1.72685,1.22169,1.25776,0.000700374,0.000700374,0.000700374
114,4920.29,1.38915,0.88968,1.06685,0.7743,0.48117,0.55087,0.29202,1.7091,1.23067,1.2481,0.000696708,0.000696708,0.000696708
115,4964.18,1.3913,0.88782,1.07366,0.7384,0.48826,0.54428,0.28092,1.73882,1.23163,1.26105,0.000693042,0.000693042,0.000693042
116,5005.68,1.38546,0.89445,1.07847,0.77814,0.50504,0.56035,0.2941,1.71317,1.20275,1.25106,0.000689376,0.000689376,0.000689376
117,5049.58,1.34544,0.86265,1.05825,0.74586,0.47561,0.5486,0.28661,1.72342,1.25188,1.24253,0.000685709,0.000685709,0.000685709
118,5093.67,1.36256,0.87593,1.06375,0.74321,0.49516,0.55676,0.29794,1.69634,1.1824,1.24314,0.000682043,0.000682043,0.000682043
119,5136.81,1.34208,0.8573,1.06087,0.77093,0.47678,0.5465,0.28404,1.74416,1.23009,1.27649,0.000678377,0.000678377,0.000678377
120,5179.74,1.35958,0.87065,1.06262,0.75525,0.50222,0.55128,0.28906,1.72899,1.21913,1.25833,0.00067471,0.00067471,0.00067471
121,5220.87,1.35995,0.87837,1.06353,0.72067,0.49941,0.55441,0.29723,1.67535,1.22075,1.23918,0.000671044,0.000671044,0.000671044
122,5262.06,1.34596,0.86845,1.05778,0.75761,0.49388,0.55808,0.29709,1.70259,1.20458,1.25082,0.000667378,0.000667378,0.000667378
123,5307.18,1.35014,0.86228,1.06726,0.7914,0.49421,0.56321,0.29936,1.69255,1.18083,1.23908,0.000663711,0.000663711,0.000663711
124,5350.31,1.35578,0.85952,1.06336,0.78049,0.49971,0.56943,0.30502,1.67227,1.17864,1.24084,0.000660045,0.000660045,0.000660045
125,5392.92,1.35453,0.85877,1.05492,0.77225,0.48866,0.56422,0.30134,1.68698,1.20213,1.24006,0.000656379,0.000656379,0.000656379
126,5434.83,1.35092,0.85875,1.05809,0.7727,0.51538,0.57095,0.30274,1.66369,1.17441,1.23413,0.000652712,0.000652712,0.000652712
127,5477.93,1.32805,0.84658,1.05391,0.81097,0.48578,0.55606,0.29635,1.68983,1.19399,1.23861,0.000649046,0.000649046,0.000649046
128,5520.52,1.31275,0.83199,1.04698,0.76516,0.50206,0.55926,0.29569,1.6992,1.18971,1.25881,0.00064538,0.00064538,0.00064538
129,5562.11,1.34561,0.85514,1.05829,0.76241,0.49268,0.56105,0.29604,1.69985,1.21362,1.24399,0.000641714,0.000641714,0.000641714
130,5607.67,1.29915,0.8251,1.0331,0.74866,0.50787,0.5638,0.30107,1.66946,1.15396,1.22984,0.000638047,0.000638047,0.000638047
131,5649.53,1.32254,0.82922,1.04784,0.76683,0.50782,0.57637,0.30846,1.66307,1.15936,1.23124,0.000634381,0.000634381,0.000634381
132,5694.55,1.2945,0.81696,1.03265,0.71213,0.52346,0.56676,0.30495,1.66168,1.17879,1.22038,0.000630715,0.000630715,0.000630715
133,5744.75,1.31382,0.85082,1.04765,0.75602,0.51974,0.57988,0.31595,1.65126,1.14722,1.22259,0.000627048,0.000627048,0.000627048
134,5786.88,1.32003,0.8321,1.04662,0.77555,0.49997,0.57044,0.3096,1.64184,1.17771,1.21475,0.000623382,0.000623382,0.000623382
135,5829.23,1.32959,0.84685,1.05129,0.74535,0.49542,0.56456,0.30518,1.652,1.16533,1.23724,0.000619716,0.000619716,0.000619716
136,5874.77,1.31501,0.8237,1.04975,0.79402,0.50634,0.56914,0.31099,1.68116,1.1851,1.23248,0.000616049,0.000616049,0.000616049
137,5916.28,1.30707,0.8137,1.04385,0.79749,0.49942,0.57647,0.31516,1.64926,1.15657,1.22131,0.000612383,0.000612383,0.000612383
138,5957.75,1.30902,0.82948,1.03901,0.78272,0.49904,0.57635,0.30617,1.67018,1.18725,1.23702,0.000608717,0.000608717,0.000608717
139,6001.49,1.31767,0.81886,1.04276,0.79631,0.5019,0.5849,0.31906,1.63953,1.16965,1.22281,0.000605051,0.000605051,0.000605051
140,6044.75,1.29881,0.8137,1.03834,0.79199,0.50978,0.57984,0.31882,1.63166,1.15009,1.22177,0.000601384,0.000601384,0.000601384
141,6086.66,1.29725,0.80784,1.03438,0.80188,0.50062,0.57321,0.30536,1.68252,1.1538,1.24805,0.000597718,0.000597718,0.000597718
142,6127.2,1.29287,0.80089,1.04228,0.73236,0.53421,0.5852,0.31257,1.64956,1.12998,1.23151,0.000594052,0.000594052,0.000594052
143,6171.8,1.31433,0.82635,1.04111,0.70877,0.52748,0.57476,0.3149,1.64983,1.16919,1.2178,0.000590385,0.000590385,0.000590385
144,6215.78,1.2938,0.80791,1.03139,0.7436,0.51931,0.58112,0.31139,1.64589,1.16496,1.22248,0.000586719,0.000586719,0.000586719
145,6260,1.27606,0.80482,1.03127,0.79188,0.5029,0.57438,0.31231,1.65244,1.16307,1.2326,0.000583053,0.000583053,0.000583053
146,6300.76,1.2683,0.79152,1.0258,0.76409,0.5281,0.59081,0.31888,1.63881,1.15032,1.22875,0.000579386,0.000579386,0.000579386
147,6344.14,1.26584,0.79109,1.02989,0.77432,0.51175,0.58543,0.32033,1.62645,1.14769,1.22159,0.00057572,0.00057572,0.00057572
148,6387.78,1.2804,0.79742,1.03692,0.77122,0.51623,0.58447,0.3243,1.62455,1.16483,1.21853,0.000572054,0.000572054,0.000572054
149,6430.35,1.26784,0.79433,1.02696,0.80532,0.52009,0.59263,0.32502,1.61755,1.16906,1.20778,0.000568388,0.000568388,0.000568388
150,6474.46,1.26132,0.78636,1.02803,0.75822,0.52729,0.58244,0.3173,1.61486,1.14452,1.21301,0.000564721,0.000564721,0.000564721
151,6517.85,1.25727,0.78316,1.02523,0.77356,0.51754,0.58626,0.31681,1.63814,1.17313,1.22289,0.000561055,0.000561055,0.000561055
152,6559.59,1.22844,0.7544,1.00691,0.77319,0.52926,0.59052,0.32424,1.61244,1.14501,1.21605,0.000557389,0.000557389,0.000557389
153,6603.5,1.28206,0.78533,1.02324,0.80607,0.52733,0.59851,0.32961,1.59798,1.13994,1.20786,0.000553722,0.000553722,0.000553722
154,6644.68,1.23147,0.77031,1.01508,0.81783,0.50011,0.5857,0.32085,1.59983,1.16323,1.21528,0.000550056,0.000550056,0.000550056
155,6688.29,1.24482,0.77438,1.02033,0.80221,0.51795,0.59666,0.33369,1.57352,1.13355,1.20383,0.00054639,0.00054639,0.00054639
156,6730.31,1.2435,0.75723,1.01418,0.7865,0.52175,0.58663,0.32587,1.60912,1.12852,1.2107,0.000542723,0.000542723,0.000542723
157,6772.53,1.24506,0.77281,1.0196,0.7901,0.52101,0.60212,0.33043,1.60397,1.10805,1.21348,0.000539057,0.000539057,0.000539057
158,6815.29,1.24666,0.7658,1.01707,0.78001,0.5369,0.60479,0.33108,1.59691,1.11967,1.21455,0.000535391,0.000535391,0.000535391
159,6858.96,1.22919,0.75256,1.01054,0.80701,0.50748,0.59229,0.32795,1.6001,1.13161,1.2006,0.000531725,0.000531725,0.000531725
160,6901.11,1.23988,0.75609,1.01415,0.80775,0.52946,0.60205,0.33325,1.57922,1.11411,1.19745,0.000528058,0.000528058,0.000528058
161,6943.99,1.20688,0.75024,1.01269,0.74785,0.53491,0.60132,0.33232,1.60013,1.11559,1.20616,0.000524392,0.000524392,0.000524392
162,6985.88,1.22558,0.75231,1.014,0.80126,0.5125,0.60414,0.33444,1.57848,1.11848,1.19402,0.000520726,0.000520726,0.000520726
163,7029.42,1.21067,0.74377,1.00761,0.76583,0.52234,0.59577,0.33464,1.58221,1.11028,1.19922,0.000517059,0.000517059,0.000517059
